,Lemma,Word list,Total F,Coverage,Cumulative,Unnamed: 5,67205779
222,area,1 - NGSL,29629,0.00044071694438473156,0.7485629649728097,,
223,name,1 - NGSL,29413,0.00043750404958615237,0.7490004690223959,,
224,remember,1 - NGSL,29369,0.00043684957101607145,0.749437318593412,,
225,against,1 - NGSL,29342,0.00043644795916624905,0.7498737665525782,,
226,program,1 - NGSL,29329,0.000436254590497816,0.750310021143076,,
227,begin,1 - NGSL,29200,0.00043433577832644235,0.7507443569214024,,
228,deal,1 - NGSL,29016,0.0004315988679424675,0.7511759557893448,,
229,company,1 - NGSL,28970,0.00043091464034647383,0.7516068704296913,,
230,idea,1 - NGSL,28956,0.00043070639716508445,0.7520375768268565,,
231,term,1 - NGSL,28801,0.00042840084765684473,0.7524659776745133,,
232,hour,1 - NGSL,28711,0.0004270621414907701,0.7528930398160041,,
233,whole,1 - NGSL,28183,0.0004192083986497988,0.7533122482146539,,
234,early,1 - NGSL,27849,0.00041424031132236623,0.7537264885259762,,
235,hard,1 - NGSL,27596,0.0004104770595444008,0.7541369655855207,,
236,love,1 - NGSL,27576,0.0004101795692852731,0.7545471451548059,,
237,test,1 - NGSL,27128,0.0004035157874808126,0.7549506609422867,,
238,system,1 - NGSL,27018,0.0004018795910556103,0.7553525405333423,,
239,plan,1 - NGSL,26914,0.00040033264170814624,0.7557528731750505,,
240,side,1 - NGSL,26853,0.00039942529641780677,0.7561522984714683,,
241,buy,1 - NGSL,26797,0.0003985923236922492,0.7565508907951605,,
242,far,1 - NGSL,26757,0.00039799734317399376,0.7569488881383345,,
243,enough,1 - NGSL,26716,0.000397387488142782,0.7573462756264773,,
244,word,1 - NGSL,26647,0.0003963611467487914,0.7577426367732261,,
245,close,1 - NGSL,26410,0.0003928358871781282,0.7581354726604042,,
246,set,1 - NGSL,26242,0.0003903369690014555,0.7585258096294056,,
247,ever,1 - NGSL,26238,0.00039027747094962995,0.7589160871003553,,
248,build,1 - NGSL,26235,0.0003902328474107608,0.7593063199477661,,
249,guy,1 - NGSL,26158,0.00038908750991311914,0.7596954074576792,,
250,real,1 - NGSL,26142,0.000388849517705817,0.760084256975385,,
251,since,1 - NGSL,25892,0.00038513088946672073,0.7604693878648516,,
252,nice,1 - NGSL,25757,0.00038312283021760875,0.7608525106950692,,
253,stuff,1 - NGSL,25658,0.00038165025343492667,0.7612341609485042,,
254,business,1 - NGSL,25626,0.0003811742690203223,0.7616153352175244,,
255,else,1 - NGSL,25623,0.0003811296454814532,0.7619964648630059,,
256,minute,1 - NGSL,25512,0.00037947857454329444,0.7623759434375492,,
257,join,1 - NGSL,25506,0.00037938932746555613,0.7627553327650147,,
258,student,1 - NGSL,25433,0.00037830348801974004,0.7631336362530344,,
259,hope,1 - NGSL,25382,0.0003775448878589644,0.7635111811408934,,
260,line,1 - NGSL,25382,0.0003775448878589644,0.7638887260287525,,
261,pretty,1 - NGSL,24884,0.00037013738040668465,0.7642588634091592,,
